,comment,taste,service,mood,cospa,negaposi
0,"ワインとメニューがピッタリで本当に感動いたしました。ソムリエの的確なお話とこちらからの問いかけにも明るくお答えいただきました。
おもてなしの心を逆に学んだ気がいたしました。
また、バックグラウンドミュージックが存在していない無音の中で、シャンパン、ワインと食事と不思議な向かいあいをした素晴らしい時を過ごしました。また、来たいと思いました。",5,5,5,5,0.4
1,落ち着いた雰囲気で美味しい食事が楽しめました。特にメインのトリュフの香りやワインの香りがとても素晴らしかったです。あえて言うとフロマージュのチーズの種類が少なかったですかね。次回いくときは是非ヤギのチーズも用意していただけるとうれしいです。楽しい食事をありがとうございます。ごちそうさまでした。,4.5,5,5,5,0.3333333333333333
2,"大変楽しい時間を過ごす事が出来ました。
美味しくて楽しい時間をありがとうございました。
また利用させていただきます。",5,5,5,5,0.4444444444444444
3,サービスもお料理も素晴らしく、落ち着いた雰囲気の中で楽しいひとときを過ごすことが出来ました。また季節の変わり目に訪れたいと思います。,5,5,5,5,0.5
4,"接客自体は親切ですが、対応が少し遅い印象です。同じお願いを隣のテーブルより全然先に頼んだですが、隣のテーブルはすぐ対応してくれているのに私だけ待たされてもう一回頼みました。。
料理は普通に美味しいです。メインだけ口に合わなかったですが、他はよかったです。",3,2,3,3,0.5
5,"毎年結婚記念日に伺います。
今年は半年程度遅れての記念日になってしまいましたが、いつ来ても洗練されていて幸せな気持ちで帰れます。",5,5,5,5,0.75
6,"いつ行ってもがっかりしたことのない、スキのない素敵なレストランです。シェフの出演した番組を見たらますます出される一皿に
興味もでてきました。今回初めて一休から予約してランチに行きました。メニューが一択なのでどんなものかな？と思いましたが、
充分楽しめました。このような時期なのでレストラン側も対策にも気を使われているようでした。",5,5,4,5,0.25
7,最高の環境、最高の料理、最高の思い出。ありがとう。,5,5,5,5,0.5
8,perfect and amazing,5,5,5,5,0.0
9,"すべてにおいて素晴らしかったです。
お料理は、どれもいい意味で想像していなかったさまざまな味の深みがあり、プレゼンテーションも素敵で、食事中ずっとワクワクしていました。一皿のお料理となるまでの厨房の方々のチームワークにも思いをはせつつ、おいしくいただきました。
昆布やわかめなどの食材も使われているのですが、見事にフレンチに溶け込んでいました。サーブされた時にほんのり漂った磯の香りのクリーム（二品目）が特に印象的でした。
前後しますが、アミューズには あられがアクセントとしてトッピングされ、飾りつけに稲穂も添えられていました。それを目にした時、シェフ、ティエリー・ヴォワザン氏が栃木の米農家を訪ねたテレビ番組のことが思い出されました。画面を通してヴォワザン氏の食材に対する真摯なお姿がとても印象に残っていたので、テーブルにご挨拶に来てくださり感激しました。
サービスは、どの方もスマートで丁寧、かつ、こちらを緊張させない和やかな雰囲気で素晴らしかったです。お料理やメニューに書かれている食材の産地名について、わからないことがあったので質問したところ、その場ですぐ的確にお答えくださるなど、プロフェッショナルな接遇はさすがの一言でした。
結婚記念日での利用だったため、いろいろとお心遣いをいただき、とても素敵な記念日となりました。本当にありがとうございました。",5,5,5,5,0.7083333333333334
10,"主人のお誕生日＆退職祝いで利用しました。
受付やサービスしてくださるスタッフ皆さんから沢山お祝いのお声をかけて頂きました。
ソムリエの方の話しやすさ、お料理、サービス、全てにおいてパーフェクトです。
（デザートのころにシェフが各テーブルに挨拶に回られました。きめ細やかですね）
心地よい接客、洗練された値段の付けられない付加価値。
サプライズ＆パフォーマンス、素晴らしい。感動しました。
大切な日にレ セゾンを選んで本当に良かったです。有難うございました。",5,5,5,5,0.8
11,妻とのランチで利用させて頂きました。入り口から素敵な雰囲気。コロナ対策もしっかりで安心しました。席までスマートに案内して頂きました。先ずはコースメニューの説明。その後ドリンクオーダーとかなりスムーズ。勿論、こちらのペースで。お料理は一品一品丁寧ね説明があり、味も抜群。ドリンクご空きかけると店員さんが直ぐにオーダーを取りに来てくれます。料理の間にパンも出して頂き、ボリュームも十分でした。デザートの量もしっかりで、おまけにショコラまで。常に店員さんが気配りをして下さり、気分良く食事を楽しめました。今度はディナーで利用させて頂きたいと思います。,5,4.5,5,5,0.6153846153846154
